question_text,subject,cognitive_level_bloom,readability_score,word_count,sentence_count,time_taken_minutes,total_students_attempted,correct_attempts,incorrect_attempts,correct_percentage,learning_gap_score,discrimination_index,difficulty_label,assessment_quality_score
Calculate efficiency of machine with scenario number 2633.,Engineering Aptitude,evaluate,80.14,30,2,18,238,35,203,0.147,0.854,0.992,hard,0.569
Describe inheritance in scenario number 2634.,Computer Science,apply,69.39,19,2,5,105,65,40,0.621,0.393,0.997,medium,0.806
Solve the quadratic equation scenario number 2635.,Mathematics,remember,42.75,25,1,12,140,99,41,0.714,0.29,0.83,easy,0.771
Determine projectile motion range for scenario number 2636.,Physics,understand,43.89,15,1,3,202,175,27,0.871,0.137,0.973,easy,0.92
Determine projectile motion range for scenario number 2637.,Physics,remember,47.61,40,2,12,234,186,48,0.797,0.235,0.752,easy,0.768
Determine projectile motion range for scenario number 2638.,Physics,analyze,69.51,18,1,12,195,95,100,0.488,0.53,0.551,medium,0.516
Apply Newton law to system scenario number 2639.,Physics,evaluate,88.0,19,1,7,268,91,177,0.342,0.665,0.885,hard,0.612
Implement binary search for scenario number 2640.,Computer Science,remember,53.7,48,1,19,141,118,23,0.84,0.162,0.881,easy,0.86
Compute definite integral of scenario number 2641.,Mathematics,analyze,55.5,37,2,19,223,110,113,0.494,0.529,0.714,medium,0.599
Compute definite integral of scenario number 2642.,Mathematics,understand,51.59,19,1,13,163,143,20,0.88,0.128,0.669,easy,0.773
Evaluate logical reasoning pattern in scenario number 2643.,Engineering Aptitude,apply,64.08,32,1,4,115,48,67,0.422,0.588,0.65,medium,0.534
Calculate efficiency of machine with scenario number 2644.,Engineering Aptitude,remember,49.4,20,2,19,120,89,31,0.745,0.298,0.909,easy,0.818
Calculate electric field for scenario number 2645.,Physics,evaluate,77.92,30,1,17,248,87,161,0.353,0.658,0.507,hard,0.428
Compute circuit resistance for scenario number 2646.,Physics,evaluate,75.37,19,3,24,194,56,138,0.292,0.752,0.5,hard,0.387
Calculate efficiency of machine with scenario number 2647.,Engineering Aptitude,apply,69.64,21,3,24,121,67,54,0.561,0.45,0.779,medium,0.668
Compute definite integral of scenario number 2648.,Mathematics,analyze,62.0,22,3,8,254,119,135,0.469,0.544,0.542,medium,0.503
Calculate efficiency of machine with scenario number 2649.,Engineering Aptitude,analyze,69.63,39,1,24,151,104,47,0.69,0.324,0.855,medium,0.77
Evaluate matrix determinant for scenario number 2650.,Mathematics,create,82.55,35,2,23,235,169,66,0.719,0.329,0.618,easy,0.659
Compute definite integral of scenario number 2651.,Mathematics,evaluate,82.56,38,1,12,238,28,210,0.122,0.928,0.935,hard,0.518
Find derivative of function scenario number 2652.,Mathematics,evaluate,79.32,38,1,16,110,41,69,0.373,0.627,0.891,hard,0.632
Determine projectile motion range for scenario number 2653.,Physics,evaluate,71.15,18,2,22,162,59,103,0.369,0.654,0.813,hard,0.586
Analyze flowchart representing scenario number 2654.,Engineering Aptitude,remember,54.43,42,1,18,232,204,28,0.883,0.118,0.821,easy,0.852
Calculate electric field for scenario number 2655.,Physics,apply,56.1,34,3,23,159,22,137,0.141,0.861,0.899,hard,0.52
Calculate electric field for scenario number 2656.,Physics,evaluate,84.32,33,2,15,293,99,194,0.338,0.673,0.869,hard,0.601
Analyze flowchart representing scenario number 2657.,Engineering Aptitude,remember,54.23,15,3,5,281,236,45,0.84,0.168,0.986,easy,0.912
Evaluate logical reasoning pattern in scenario number 2658.,Engineering Aptitude,create,82.31,20,2,21,285,35,250,0.124,0.883,0.787,hard,0.454
Apply Newton law to system scenario number 2659.,Physics,remember,49.05,23,3,17,252,211,41,0.841,0.206,0.843,easy,0.832
Evaluate logical reasoning pattern in scenario number 2660.,Engineering Aptitude,evaluate,83.62,33,2,4,281,63,218,0.227,0.802,0.608,hard,0.412
Describe inheritance in scenario number 2661.,Computer Science,apply,60.74,16,2,6,213,105,108,0.497,0.546,0.888,medium,0.684
Determine projectile motion range for scenario number 2662.,Physics,remember,42.85,43,2,18,177,125,52,0.71,0.325,0.706,easy,0.701
Apply Newton law to system scenario number 2663.,Physics,apply,59.61,45,2,21,194,86,108,0.448,0.577,0.506,medium,0.472
Evaluate matrix determinant for scenario number 2664.,Mathematics,create,76.02,35,1,13,121,34,87,0.282,0.765,0.581,hard,0.422
Find derivative of function scenario number 2665.,Mathematics,create,72.78,26,3,20,112,31,81,0.278,0.765,0.792,hard,0.526
Describe inheritance in scenario number 2666.,Computer Science,understand,43.2,37,1,10,282,226,56,0.805,0.208,0.687,easy,0.743
Explain database normalization of scenario number 2667.,Computer Science,create,88.67,41,1,17,102,39,63,0.388,0.635,0.785,hard,0.582
Describe inheritance in scenario number 2668.,Computer Science,apply,61.8,26,1,11,107,73,34,0.686,0.336,0.565,medium,0.621
Determine projectile motion range for scenario number 2669.,Physics,apply,56.65,40,3,9,271,167,104,0.618,0.392,0.845,medium,0.729
Compute circuit resistance for scenario number 2670.,Physics,evaluate,70.21,48,1,16,266,88,178,0.333,0.69,0.932,hard,0.628
Analyze time complexity of scenario number 2671.,Computer Science,create,88.52,36,2,19,255,39,216,0.154,0.89,0.669,hard,0.403
Apply Newton law to system scenario number 2672.,Physics,evaluate,81.52,30,2,11,134,20,114,0.152,0.886,0.896,hard,0.516
Calculate efficiency of machine with scenario number 2673.,Engineering Aptitude,remember,42.18,25,2,5,168,134,34,0.801,0.206,0.876,easy,0.837
Compute circuit resistance for scenario number 2674.,Physics,evaluate,81.64,16,2,10,249,31,218,0.127,0.89,0.525,hard,0.323
Analyze flowchart representing scenario number 2675.,Engineering Aptitude,evaluate,79.55,40,3,13,174,59,115,0.34,0.661,0.505,hard,0.422
Solve the quadratic equation scenario number 2676.,Mathematics,evaluate,82.22,35,2,11,219,47,172,0.219,0.786,0.628,hard,0.422
Evaluate matrix determinant for scenario number 2677.,Mathematics,create,89.14,23,1,18,214,39,175,0.183,0.834,0.707,hard,0.442
Compute definite integral of scenario number 2678.,Mathematics,analyze,61.51,32,2,18,123,76,47,0.626,0.376,0.575,medium,0.6
Describe inheritance in scenario number 2679.,Computer Science,understand,41.58,40,2,7,263,186,77,0.709,0.33,0.956,easy,0.825
Solve the quadratic equation scenario number 2680.,Mathematics,analyze,62.3,35,2,10,145,65,80,0.45,0.588,0.672,medium,0.553
Implement binary search for scenario number 2681.,Computer Science,analyze,57.03,34,1,17,184,123,61,0.671,0.355,0.953,medium,0.807
Find derivative of function scenario number 2682.,Mathematics,create,78.09,30,2,8,136,40,96,0.298,0.737,0.511,hard,0.397
Compute definite integral of scenario number 2683.,Mathematics,create,71.08,28,3,6,129,30,99,0.236,0.809,0.844,hard,0.531
Implement binary search for scenario number 2684.,Computer Science,remember,40.93,21,2,12,295,89,206,0.304,0.742,0.606,hard,0.446
Implement binary search for scenario number 2685.,Computer Science,understand,43.84,19,1,9,189,153,36,0.812,0.205,0.672,easy,0.738
Evaluate logical reasoning pattern in scenario number 2686.,Engineering Aptitude,remember,44.35,32,2,22,105,77,28,0.734,0.271,0.57,easy,0.651
Describe inheritance in scenario number 2687.,Computer Science,create,75.39,33,2,21,232,55,177,0.239,0.793,0.632,hard,0.429
Apply Newton law to system scenario number 2688.,Physics,understand,42.34,20,3,8,138,112,26,0.816,0.227,0.859,easy,0.829
Calculate efficiency of machine with scenario number 2689.,Engineering Aptitude,apply,59.22,49,1,11,121,51,70,0.426,0.596,0.555,medium,0.486
Determine stress on beam under scenario number 2690.,Engineering Aptitude,evaluate,89.11,17,2,15,257,58,199,0.23,0.814,0.99,hard,0.601
Calculate electric field for scenario number 2691.,Physics,remember,43.7,43,1,23,228,198,30,0.871,0.165,0.967,easy,0.912
Apply Newton law to system scenario number 2692.,Physics,understand,45.2,38,1,3,209,177,32,0.847,0.154,0.681,easy,0.764
Implement binary search for scenario number 2693.,Computer Science,evaluate,70.39,37,3,19,230,37,193,0.164,0.844,0.976,hard,0.568
Implement binary search for scenario number 2694.,Computer Science,create,73.83,37,3,16,130,36,94,0.28,0.763,0.934,hard,0.598
Compute definite integral of scenario number 2695.,Mathematics,create,81.93,18,2,18,255,88,167,0.347,0.661,0.788,hard,0.566
Calculate efficiency of machine with scenario number 2696.,Engineering Aptitude,analyze,68.45,28,3,4,283,120,163,0.427,0.616,0.688,medium,0.549
Compute definite integral of scenario number 2697.,Mathematics,analyze,68.21,41,2,19,242,146,96,0.605,0.397,0.567,medium,0.585
Evaluate logical reasoning pattern in scenario number 2698.,Engineering Aptitude,remember,49.53,32,1,9,160,133,27,0.832,0.206,0.788,easy,0.802
Analyze flowchart representing scenario number 2699.,Engineering Aptitude,apply,58.91,35,3,14,239,126,113,0.528,0.473,0.533,medium,0.53
Find derivative of function scenario number 2700.,Mathematics,remember,49.73,48,3,16,104,79,25,0.764,0.249,0.51,easy,0.634
Describe inheritance in scenario number 2701.,Computer Science,evaluate,75.46,15,1,24,210,62,148,0.3,0.747,0.924,hard,0.602
Evaluate logical reasoning pattern in scenario number 2702.,Engineering Aptitude,remember,43.69,41,2,14,245,209,36,0.856,0.18,0.976,easy,0.909
Determine stress on beam under scenario number 2703.,Engineering Aptitude,apply,66.07,44,2,23,200,134,66,0.671,0.344,0.565,medium,0.615
Solve the quadratic equation scenario number 2704.,Mathematics,create,86.53,38,2,3,231,193,38,0.838,0.195,0.683,easy,0.754
Calculate efficiency of machine with scenario number 2705.,Engineering Aptitude,understand,40.89,45,1,12,152,109,43,0.722,0.283,0.97,easy,0.845
Calculate electric field for scenario number 2706.,Physics,apply,64.69,46,1,24,264,166,98,0.63,0.372,0.812,medium,0.721
Analyze time complexity of scenario number 2707.,Computer Science,create,80.93,20,3,19,186,63,123,0.34,0.704,0.755,hard,0.539
Solve the quadratic equation scenario number 2708.,Mathematics,analyze,62.35,35,1,4,182,98,84,0.539,0.502,0.863,medium,0.693
Calculate efficiency of machine with scenario number 2709.,Engineering Aptitude,evaluate,79.78,38,3,6,283,100,183,0.354,0.681,0.909,hard,0.624
Explain database normalization of scenario number 2710.,Computer Science,understand,48.16,39,1,24,213,190,23,0.894,0.156,0.62,easy,0.747
Evaluate matrix determinant for scenario number 2711.,Mathematics,understand,53.51,46,2,22,147,106,41,0.723,0.284,0.809,easy,0.765
Analyze time complexity of scenario number 2712.,Computer Science,apply,64.11,21,2,15,181,73,108,0.406,0.627,0.527,medium,0.46
Apply Newton law to system scenario number 2713.,Physics,evaluate,89.6,29,3,10,243,92,151,0.379,0.652,0.592,hard,0.479
Calculate efficiency of machine with scenario number 2714.,Engineering Aptitude,create,81.25,32,1,17,267,41,226,0.156,0.885,0.807,hard,0.473
Calculate efficiency of machine with scenario number 2715.,Engineering Aptitude,remember,41.47,30,2,5,243,212,31,0.874,0.153,0.711,easy,0.787
Solve the quadratic equation scenario number 2716.,Mathematics,analyze,63.01,25,3,7,253,143,110,0.569,0.478,0.873,medium,0.712
Analyze time complexity of scenario number 2717.,Computer Science,understand,45.86,37,1,23,202,141,61,0.702,0.334,0.647,easy,0.667
Evaluate matrix determinant for scenario number 2718.,Mathematics,remember,43.13,18,3,20,287,120,167,0.418,0.608,0.576,medium,0.492
Calculate efficiency of machine with scenario number 2719.,Engineering Aptitude,remember,51.38,26,1,3,145,125,20,0.866,0.167,0.503,easy,0.678
Solve the quadratic equation scenario number 2720.,Mathematics,apply,64.42,38,3,8,296,127,169,0.432,0.582,0.533,medium,0.48
Analyze flowchart representing scenario number 2721.,Engineering Aptitude,remember,40.13,28,2,17,276,220,56,0.799,0.212,0.992,easy,0.893
Determine stress on beam under scenario number 2722.,Engineering Aptitude,evaluate,86.95,25,3,4,121,36,85,0.301,0.731,0.609,hard,0.449
Evaluate matrix determinant for scenario number 2723.,Mathematics,analyze,66.38,30,2,21,100,63,37,0.636,0.369,0.875,medium,0.755
Analyze flowchart representing scenario number 2724.,Engineering Aptitude,evaluate,77.18,24,2,3,148,56,92,0.383,0.651,0.606,hard,0.488
Compute definite integral of scenario number 2725.,Mathematics,create,77.2,29,3,18,127,26,101,0.205,0.839,0.541,hard,0.364
Evaluate matrix determinant for scenario number 2726.,Mathematics,evaluate,79.33,22,1,10,257,76,181,0.298,0.702,0.59,hard,0.444
Implement binary search for scenario number 2727.,Computer Science,remember,45.13,29,1,11,276,248,28,0.9,0.142,0.672,easy,0.777
Solve the quadratic equation scenario number 2728.,Mathematics,evaluate,78.52,18,3,20,228,24,204,0.106,0.901,0.682,hard,0.392
Find derivative of function scenario number 2729.,Mathematics,evaluate,72.18,18,1,6,263,86,177,0.328,0.682,0.742,hard,0.533
Determine projectile motion range for scenario number 2730.,Physics,apply,61.78,32,3,16,268,110,158,0.414,0.625,0.603,medium,0.501
Analyze flowchart representing scenario number 2731.,Engineering Aptitude,create,75.72,45,1,11,247,65,182,0.263,0.753,0.588,hard,0.422
Determine stress on beam under scenario number 2732.,Engineering Aptitude,understand,51.53,19,1,24,249,216,33,0.868,0.182,0.736,easy,0.792
Apply Newton law to system scenario number 2733.,Physics,remember,54.54,18,3,9,143,113,30,0.794,0.241,0.699,easy,0.739
Determine projectile motion range for scenario number 2734.,Physics,evaluate,70.52,36,1,17,105,23,82,0.223,0.778,0.818,hard,0.52
Evaluate logical reasoning pattern in scenario number 2735.,Engineering Aptitude,apply,66.12,19,1,8,181,82,99,0.454,0.556,0.962,medium,0.706
Calculate electric field for scenario number 2736.,Physics,analyze,58.59,37,3,12,284,117,167,0.413,0.622,0.752,medium,0.576
Explain database normalization of scenario number 2737.,Computer Science,apply,62.13,45,2,14,249,126,123,0.51,0.52,0.608,medium,0.553
Analyze time complexity of scenario number 2738.,Computer Science,evaluate,82.68,27,1,11,260,27,233,0.107,0.911,0.959,hard,0.529
Apply Newton law to system scenario number 2739.,Physics,understand,54.95,25,1,22,100,80,20,0.806,0.238,0.645,easy,0.717
Evaluate matrix determinant for scenario number 2740.,Mathematics,apply,67.11,18,3,3,147,98,49,0.671,0.356,0.516,medium,0.588
Calculate electric field for scenario number 2741.,Physics,create,88.54,47,3,7,162,56,106,0.349,0.689,0.668,hard,0.501
Apply Newton law to system scenario number 2742.,Physics,apply,64.57,40,3,19,146,73,73,0.505,0.531,0.686,medium,0.588
Compute circuit resistance for scenario number 2743.,Physics,create,82.12,25,2,4,251,60,191,0.243,0.758,0.506,hard,0.374
Evaluate logical reasoning pattern in scenario number 2744.,Engineering Aptitude,evaluate,83.23,42,2,15,186,44,142,0.241,0.77,0.995,hard,0.616
Explain database normalization of scenario number 2745.,Computer Science,analyze,58.91,34,1,8,230,95,135,0.415,0.6,0.784,medium,0.597
Implement binary search for scenario number 2746.,Computer Science,remember,49.27,34,3,22,182,145,37,0.798,0.223,0.914,easy,0.852
Calculate efficiency of machine with scenario number 2747.,Engineering Aptitude,analyze,61.98,38,1,15,266,127,139,0.478,0.569,0.744,medium,0.602
Apply Newton law to system scenario number 2748.,Physics,create,72.22,22,1,16,143,20,123,0.142,0.894,0.757,hard,0.442
Calculate electric field for scenario number 2749.,Physics,analyze,56.68,43,3,8,155,108,47,0.697,0.328,0.558,medium,0.623
Calculate electric field for scenario number 2750.,Physics,analyze,62.06,38,1,22,297,192,105,0.647,0.37,0.882,medium,0.761
Describe inheritance in scenario number 2751.,Computer Science,understand,49.57,29,3,6,244,196,48,0.806,0.222,0.961,easy,0.878
Determine stress on beam under scenario number 2752.,Engineering Aptitude,remember,49.41,43,1,13,230,200,30,0.873,0.136,0.976,easy,0.923
Analyze time complexity of scenario number 2753.,Computer Science,remember,40.89,39,3,23,216,154,62,0.715,0.288,0.551,easy,0.632
Analyze time complexity of scenario number 2754.,Computer Science,evaluate,71.75,19,3,9,205,78,127,0.385,0.625,0.59,hard,0.486
Find derivative of function scenario number 2755.,Mathematics,apply,58.63,35,3,7,130,83,47,0.645,0.357,0.85,medium,0.747
Determine stress on beam under scenario number 2756.,Engineering Aptitude,create,78.78,34,3,7,225,32,193,0.145,0.895,0.73,hard,0.43
Analyze time complexity of scenario number 2757.,Computer Science,remember,41.13,33,2,4,166,148,18,0.895,0.116,0.585,easy,0.738
Calculate electric field for scenario number 2758.,Physics,apply,60.44,29,3,8,104,44,60,0.427,0.611,0.924,medium,0.668
Calculate electric field for scenario number 2759.,Physics,apply,56.62,43,1,22,213,108,105,0.512,0.535,0.69,medium,0.592
Determine projectile motion range for scenario number 2760.,Physics,evaluate,71.21,44,2,18,292,89,203,0.306,0.725,0.586,hard,0.44
Calculate electric field for scenario number 2761.,Physics,understand,42.43,37,2,9,298,256,42,0.861,0.187,0.727,easy,0.785
Find derivative of function scenario number 2762.,Mathematics,apply,66.79,38,1,15,125,54,71,0.438,0.571,0.549,medium,0.492
